"","9014_1-5","9014_1-6","9014_2-5","9014_2-6","9014_5-6","9014_6-5-1","9014_6-5-2","9014_6-6"
"MRPL2P1",0,0,0,0,0,0,0,0
"RNU6-148P",0,0,0,0,0,0,0,0
"RP11-654D12.2",0,0,0,0,0,0,0,0
"RP11-654D12.1",0,0,0,0,0,0,0,0
"RP11-654D12.3",0,0,0,0,0,2,0,0
"RP11-567C2.1",0,0,0,2,0,0,0,0
"RP11-753N8.1",0,0,0,0,0,0,0,0
"RP11-632B21.1",0,0,0,0,0,0,0,0
"RP11-20L19.1",0,3,0,0,0,0,0,0
"CCER1",0,0,0,0,0,0,0,0
"RP11-916O13.1",0,0,0,0,0,0,0,0
"EPYC",0,0,0,0,0,0,0,1
"KERA",0,0,0,0,0,0,0,0
"LUM",0,0,0,0,0,0,0,0
"DCN",0,0,0,0,0,0,0,1
"AC007115.3",0,0,0,0,0,0,0,0
"RP11-121E16.1",0,0,0,0,0,0,0,0
"RP11-693J15.6",0,0,0,0,2,0,0,2
"RP11-1041F24.1",0,0,0,0,0,0,0,0
"RP11-587P21.1",0,0,1,0,0,0,3,0
"RP11-587P21.2",2,5,1,5,1,3,1,0
"RP11-587P21.3",0,0,0,0,0,0,0,0
"C12orf79",96,94,74,91,250,180,199,266
"BTG1",48013,36160,39806,37694,32787,34326,36786,36960
"RP11-796E2.4",124,118,108,120,218,217,300,244
"RPL21P106",0,0,0,0,0,0,2,3
"RP11-756G20.1",30,18,15,33,21,18,41,17
"CLLU1OS",0,0,0,0,0,0,0,0
"CLLU1",4,9,1,26,7,3,2,9
"RP11-693J15.4",0,0,0,0,0,0,0,0
"RP11-693J15.5",0,0,2,0,1,0,0,0
"RP11-693J15.3",0,0,0,0,0,0,0,0
"C12orf74",0,0,0,0,0,0,0,0
"PLEKHG7",0,0,0,0,0,1,1,0
"EEA1",1940,1493,1598,1912,1581,2141,2045,1883
"RP11-603K19.1",3,4,4,2,0,8,4,0
"RP11-603K19.2",1,2,3,6,0,2,5,3
"RNU6-1329P",0,0,0,0,0,0,0,0
"RP11-511B23.1",0,0,1,0,0,0,0,0
"RP11-511B23.2",0,0,0,0,0,0,0,0
"RP11-511B23.4",0,0,0,0,0,0,0,0
"RPL41P5",236,382,211,372,268,194,176,372
"RP11-202G11.2",0,0,0,0,0,0,0,0
"RP11-202G11.1",0,0,0,0,0,0,0,0
"RP11-511B23.3",0,0,0,0,0,0,0,0
"RP11-486A14.1",0,0,0,0,0,0,0,0
"RP11-486A14.2",0,0,0,0,0,0,0,0
"NUDT4",2887,3191,2305,3317,2548,2408,2566,3019
"UBE2N",7807,7528,6491,8003,6284,5727,6155,6859
"MRPL42",2899,3902,2411,4091,2926,2553,2660,3225
"RN7SL737P",0,0,0,0,0,0,0,0
"RP11-356O22.4",0,0,0,0,0,0,0,0
"RP11-887P2.1",168,235,180,290,117,119,132,141
"SOCS2",2525,3655,2055,3722,1520,1297,1443,1640
"RP11-887P2.3",13,1,3,4,9,7,16,9
"CRADD",385,343,332,354,250,236,307,286
"RP11-887P2.5",1,2,0,3,2,4,0,3
"RN7SL630P",0,0,0,0,0,0,0,0
"RP11-887P2.6",6,6,2,5,2,3,3,0
"RP11-1060G2.1",3,6,5,1,4,7,8,3
"RP11-1060G2.2",0,0,0,1,2,0,5,0
"RN7SKP263",0,0,0,0,0,0,0,0
"RP11-74K11.1",0,0,0,0,0,0,0,0
"PLXNC1",2862,2589,2419,3250,2248,2469,2743,2753
"RP11-74K11.2",2,0,0,0,0,6,2,1
"RP11-1105G2.4",7,4,5,4,2,2,12,15
"RP11-1105G2.3",42,18,27,20,38,55,48,50
"CCDC41",775,584,598,601,662,778,873,730
"RN7SL330P",0,0,0,0,1,3,1,1
"RBMS2P1",3,2,2,0,4,1,1,0
"RP11-865A20.1",11,13,12,11,16,13,17,19
"RP11-778J16.3",0,0,0,0,0,0,0,0
"RN7SL483P",0,0,0,0,0,0,0,0
"RP11-778J16.2",4,3,2,6,3,4,4,6
"RP11-778J16.1",6,11,5,15,8,2,9,7
"MIR5700",0,0,0,0,0,0,0,0
"TMCC3",68,16,35,14,12,19,10,7
"MIR7844",0,0,0,0,0,0,0,0
"RP11-876K22.2",0,0,0,0,0,0,0,0
"RP11-3K15.1",0,0,0,0,0,0,0,0
"MIR492",0,0,0,0,0,0,0,0
"NDUFA12",6099,6795,4986,7694,3574,3495,4033,4008
"NR2C1",880,810,679,921,978,1010,1114,1071
"FGD6",32,23,33,20,30,28,28,48
"RP11-129B9.2",0,0,0,0,0,0,0,0
"RP11-129B9.1",2,0,0,0,0,0,0,0
"VEZT",2960,2120,2419,2218,1975,2135,2333,2166
"RP11-167N24.2",0,0,0,2,0,0,4,0
"RNU6-808P",1,0,1,0,0,1,4,2
"MIR331",0,0,2,0,0,0,1,0
"MIR3685",6,2,1,3,3,3,5,2
"RP11-167N24.3",0,0,0,0,0,0,0,0
"RP11-167N24.5",0,0,0,0,0,0,0,0
"RNU6-735P",0,0,0,0,0,0,0,0
"RP11-490G8.1",18,51,37,50,47,13,17,25
"METAP2",5182,5660,4327,6141,4257,4090,4426,4958
"USP44",289,351,250,334,249,221,266,309
"RP11-410A13.1",2,0,1,0,0,4,0,3
"NTN4",11,1,0,1,0,0,0,1
"RNU6-247P",0,0,0,0,0,0,0,0
"RP11-536G4.2",0,0,0,0,1,0,0,0
"RP11-536G4.1",0,0,0,0,0,0,0,0
"SNRPF",2704,2603,2440,2748,1896,2112,2363,2320
"CCDC38",5,1,2,3,1,13,2,4
"RP11-536G4.5",0,0,0,0,0,0,0,0
"AMDHD1",84,56,61,31,36,36,49,39
"HAL",9,2,6,5,1,12,9,11
"RP11-256L6.3",0,0,0,0,1,0,0,0
"LTA4H",3023,5288,2518,5577,3646,2546,2894,4035
"RP11-256L6.2",3,0,0,0,0,2,0,0
"RP11-256L6.4",0,0,0,0,0,0,0,0
"RN7SL88P",0,0,0,0,0,0,0,0
"RP11-256L6.5",1,0,0,0,0,0,0,3
"ELK3",5855,3604,4487,3708,2913,3134,3418,3323
"RP11-394J1.2",5,4,6,5,6,1,6,4
"CDK17",5452,3710,4485,3903,3701,4624,5160,4247
"RNU4-24P",0,0,1,0,3,4,6,1
"RP11-117N2.2",2,1,2,3,1,1,3,0
"RP11-510I5.4",0,0,0,0,0,0,0,0
"RN7SKP11",0,0,0,0,0,0,0,0
"CFAP54",22,12,12,16,12,9,12,9
"RP11-513P18.2",1,0,0,0,2,0,0,0
"NEDD1",2681,2902,2165,3007,1868,1835,2026,2018
"RP11-541G9.1",0,0,0,0,0,0,0,0
"RP11-397H6.1",0,0,0,0,0,0,0,0
"RP11-534P6.1",0,0,0,0,0,0,0,0
"RP11-541G9.2",0,0,0,0,0,0,0,0
"RMST",0,0,0,0,0,0,0,0
"MIR1251",0,0,0,0,0,0,0,0
"RF01963",0,0,0,0,0,0,0,0
"RF01964",0,0,0,0,0,0,0,0
"RF01965",0,0,0,0,0,0,0,0
"RF01966",0,0,0,0,0,0,0,0
"RF01967",0,0,0,0,0,0,0,0
"RF01968",0,0,0,0,0,0,0,0
"RF00537",0,0,0,0,0,0,0,0
"RF01969",0,0,0,0,0,0,0,0
"RF01970",0,0,0,0,0,0,0,0
"RP11-528M18.2",0,0,0,0,0,0,0,0
"MIR135A2",0,0,0,0,0,0,0,0
"RF01971",0,0,0,0,0,0,0,0
"RP11-528M18.3",0,0,0,0,0,0,0,0
"RP11-1016B18.1",0,0,0,0,0,0,0,0
"RNU6-36P",0,0,0,0,0,1,2,0
"MIR4495",0,0,0,0,0,0,0,0
"MIR4303",0,0,0,0,0,0,0,0
"RP11-690J15.1",0,0,0,0,0,0,0,0
"RP11-718L23.1",0,0,0,0,0,0,0,0
"RNU4-41P",0,0,0,0,0,0,0,0
"RP11-181C3.4",0,0,0,0,0,0,0,1
"RP11-181C3.1",25,34,31,61,29,30,23,35
"RP11-181C3.2",111,179,93,186,70,123,113,83
"TMPO",8454,12057,7358,12869,7104,8839,9633,7981
"RP11-481K9.4",0,0,0,0,0,0,2,0
"SLC25A3",15540,14144,13116,14484,12276,12888,13626,14158
"SNORA53",13,15,23,12,10,13,22,17
"IKBIP",837,719,707,770,610,686,701,708
"APAF1",1262,1478,903,1732,1332,1292,1266,1572
"ANKS1B",2,0,3,0,0,0,12,1
"RP11-90E9.1",0,1,1,0,2,0,0,0
"RP11-473C19.1",0,0,0,0,0,0,0,0
"RNA5SP366",0,0,0,0,0,0,0,0
"RP11-406H4.1",0,0,0,0,0,0,0,0
"FAM71C",0,0,0,0,0,0,0,0
"RP11-135F9.1",4,3,9,3,3,7,8,7
"RP11-135F9.4",67,28,72,25,22,60,29,42
"UHRF1BP1L",3445,2153,2980,2494,2699,3553,3578,2962
"RP11-135F9.3",310,253,211,305,302,262,272,272
"RP11-175P13.2",1,0,0,1,3,7,2,2
"GOLGA2B",459,430,320,479,411,496,530,490
"RN7SL176P",0,0,0,0,0,0,0,0
"RP11-175P13.3",43,45,26,54,36,44,40,45
"MIR1827",0,0,0,0,0,0,0,0
"ACTR6",1762,2213,1410,2429,1468,1245,1404,1726
"DEPDC4",14,16,11,32,10,11,9,15
"SCYL2",4752,4319,3870,4849,3309,3314,3367,3736
"SLC17A8",0,0,0,0,0,0,0,0
"NR1H4",0,0,0,0,0,0,0,0
"RP11-575G13.3",0,0,0,0,0,0,0,0
"GAS2L3",54,65,59,57,18,70,68,25
"RP11-575G13.2",0,0,0,0,0,0,2,0
"ANO4",0,0,0,0,0,0,0,0
"RP11-263E1.1",0,0,0,0,0,0,0,0
"RP11-350G24.1",0,0,0,0,0,0,0,0
"RP11-350G24.2",0,0,0,1,1,3,0,1
"SLC5A8",0,0,0,0,0,0,0,0
"RNU6-768P",0,0,0,0,0,0,0,0
"RP11-399D15.1",0,0,0,0,0,0,0,0
"UTP20",1801,2459,1472,2792,2785,2324,2357,3366
"ARL1",2066,2504,1706,2830,1896,1709,1757,2302
"RP11-321F8.4",6,9,4,5,4,14,12,6
"RNU6-1068P",0,0,0,0,0,0,0,0
"RPS27P23",0,1,0,0,0,0,0,0
"RNU5E-5P",0,0,0,0,0,0,0,0
"RNA5SP367",0,0,0,0,0,0,0,0
"SPIC",0,0,0,0,0,0,0,0
"MYBPC1",0,0,0,0,0,0,0,0
"RP11-755O11.2",0,0,0,0,0,0,0,0
"RP11-285E23.2",2,0,0,0,0,0,0,0
"CHPT1",912,734,728,793,569,689,677,700
"RNY1P16",3,2,2,0,4,3,5,1
"SYCP3",27,4,14,7,22,15,36,13
"GNPTAB",8536,9657,6831,10650,7471,6697,7056,8606
"RNU6-101P",0,3,2,0,1,0,1,0
"RP11-511H9.3",20,9,11,18,23,24,14,19
"RNA5SP368",0,0,0,0,0,0,0,0
"RNU6-172P",0,1,0,1,0,0,0,0
"RNA5SP369",0,0,0,0,0,0,0,0
"RNU6-1183P",0,0,0,0,0,0,0,0
"RP11-511H9.4",1,0,1,2,3,1,1,2
"DRAM1",641,509,556,511,395,468,431,442
"RP11-512N21.3",0,1,2,1,0,1,0,0
"RP11-512N21.1",0,0,0,0,0,0,0,0
"RP11-554E23.2",0,1,1,0,1,3,0,0
"RP11-554E23.3",0,0,0,0,0,0,0,0
"WASHC3",2307,2165,1841,2320,1989,1681,1890,2320
"RP11-554E23.4",10,1,14,5,11,12,11,14
"NUP37",1076,1256,884,1370,898,1046,1004,1014
"C12orf48",399,411,308,482,237,359,402,277
"PMCH",78,20,58,13,25,35,26,51
"HELLPAR",37,36,39,35,17,77,72,31
"RN7SL793P",0,0,0,0,0,0,0,0
"RP11-18O15.1",0,0,0,0,0,0,0,0
"RP11-210L7.3",1,0,4,0,0,3,1,0
"IGF1",280,57,308,62,140,161,210,160
"RP11-210L7.1",0,0,0,1,0,0,0,0
"RP11-478G16.1",0,0,0,0,0,0,0,0
"PAH",0,0,0,0,0,0,0,0
"RP11-438H24.2",0,0,0,0,0,0,0,0
"ASCL1",1,0,1,0,0,1,0,0
"RP11-328J6.1",0,0,0,0,2,0,1,0
"RP11-552I14.1",0,0,0,0,0,0,0,0
"C12orf42",6,28,6,11,16,12,11,16
"RP11-626I20.1",0,0,0,0,0,0,0,0
"RP11-626I20.2",0,0,0,0,0,0,0,0
"RP11-626I20.3",0,0,0,0,0,0,0,0
"STAB2",0,0,4,7,1,3,2,0
"RP11-341G23.2",0,0,0,0,0,0,0,0
"RP11-341G23.3",0,0,0,0,0,0,0,0
"RP11-341G23.4",1,4,12,6,1,1,10,4
"NT5DC3",359,374,307,352,416,333,473,477
"RP11-650K20.2",0,0,0,0,0,0,0,0
"RP11-650K20.3",0,0,0,0,0,0,0,0
"TTC41P",17,21,31,36,40,31,26,26
"HSP90B1",31007,31465,25413,33284,29674,27317,29199,33325
"MIR3652",0,0,0,0,0,0,0,0
"C12orf73",270,248,219,221,199,217,269,242
"TDG",2515,2098,2084,2324,2266,2498,2582,2583
"GLT8D2",25,21,27,22,22,32,15,23
"RP11-490H24.5",12,12,5,9,10,8,11,6
"HCFC2",1358,1107,1129,1247,1018,1071,1132,1322
"NFYB",1113,1643,1018,1628,1094,989,995,1206
"RNA5SP370",0,0,0,0,2,0,0,0
"RP11-818F20.4",0,0,0,0,0,0,0,0
"TXNRD1",11219,8025,9302,8482,8170,8847,9423,8632
"RP11-818F20.5",0,0,3,0,0,0,0,0
"RP11-818F20.1",400,660,307,678,552,409,409,684
"EID3",448,451,344,528,318,359,381,394
"CHST11",7093,5653,5960,6156,4774,5917,6615,5186
"RP11-43D4.2",0,0,1,3,0,1,0,3
"RP11-43D4.3",3,8,3,2,1,0,2,4
"MIR3922",0,0,0,0,0,0,0,0
"SLC41A2",214,41,179,50,56,67,126,70
"KRT18P20",0,0,0,0,0,0,0,0
"C12orf45",424,658,330,660,583,429,447,671
"ALDH1L2",30,4,31,11,11,21,19,7
"RP11-61E11.2",0,0,0,0,0,0,0,0
"WASHC4",4824,5231,3647,6032,4469,3605,3847,5032
"APPL2",1067,1070,885,1254,1124,1003,1096,1300
"C12orf75",1913,2264,1641,2411,1116,1791,2033,1269
"RP11-474B16.1",4,6,2,0,0,2,1,3
"RP11-266E14.1",0,0,0,0,0,0,0,0
"ST13P3",1,0,1,0,1,0,0,2
"RP11-114F10.2",0,0,0,0,0,0,0,0
"NUAK1",1,1,1,0,0,0,3,0
"RP11-114F10.3",0,0,0,0,0,0,0,0
"RP11-185N2.1",0,0,0,0,0,0,0,0
"CKAP4",759,2046,649,2028,763,445,471,832
"RP11-651L5.2",2,0,0,1,0,0,0,0
"RP11-651L5.3",0,1,0,3,1,0,1,3
"RNU7-94P",0,0,0,0,0,0,0,0
"TCP11L2",863,2094,714,2216,1787,834,896,2002
"POLR3B",444,682,363,691,518,452,534,646
"RP11-144F15.1",0,1,1,3,1,2,2,3
"RFX4",0,0,1,0,2,0,3,1
"RP11-482D24.2",1,1,1,2,2,0,1,0
"RP11-482D24.3",3,3,2,1,10,5,4,4
"RIC8B",909,878,843,946,835,797,892,967
"RP11-124N23.2",0,0,1,0,0,0,0,0
"RP11-124N23.1",0,0,0,0,0,0,0,0
"RP11-412D9.4",31,19,21,25,36,23,28,28
"TMEM263",2242,3078,1816,3038,1970,1753,1923,2191
"MTERFD3",170,160,119,165,154,190,201,161
"CRY1",1669,1159,1331,1289,848,1411,1450,951
"RP11-797M17.1",0,0,1,0,0,0,0,0
"RP11-90N16.1",0,0,0,0,0,0,0,0
"BTBD11",3010,3825,2504,4036,2625,2183,2253,2986
"RNA5SP371",0,0,0,0,0,0,0,0
"RP11-128P10.1",6,3,4,2,2,2,4,1
"PWP1",3892,4031,3288,4337,2887,2944,3304,3417
"RP11-864J10.2",3,1,1,2,0,0,2,6
"PRDM4",3067,2681,2515,2846,2454,1925,2283,2705
"RP11-864J10.4",12,9,18,3,5,13,14,17
"ASCL4",0,3,0,1,2,5,1,1
"RP11-554D14.7",0,0,0,0,0,0,0,0
"RP11-554D14.8",0,0,0,0,0,0,0,0
"RP11-554D14.6",0,0,0,0,0,0,0,0
"RP11-554D14.4",1,0,1,1,0,2,0,0
"RP11-554D14.5",0,0,0,0,0,0,0,0
"RP11-554D14.3",0,1,1,0,0,0,0,0
"RP11-554D14.2",1,2,1,0,0,1,1,0
"RP11-554D14.1",0,0,0,0,0,0,0,0
"WSCD2",0,0,0,0,0,0,0,0
"RP11-1K3.1",0,0,0,0,0,0,0,0
"CMKLR1",1,0,0,0,0,0,0,0
"RP11-13G14.4",1,0,0,0,0,0,9,0
"FICD",365,501,319,581,416,338,381,493
"SART3",4352,4179,3528,4349,3812,3614,4112,4373
"ISCU",3646,2840,2853,3005,2900,3154,3354,3415
"TMEM119",63,32,67,20,13,19,32,18
"SELPLG",24392,27572,20297,28974,14898,12676,14251,16420
"RP11-689B22.2",29,28,30,32,40,44,35,47
"MIR4496",0,0,0,0,0,0,0,0
"CORO1C",1689,976,1527,1022,606,777,857,736
"RNU7-169P",0,0,0,0,0,0,0,0
"SSH1",7439,3136,6062,3498,3208,4213,4568,3628
"RP11-423G4.8",0,0,0,0,0,0,0,0
"RP11-423G4.10",6,1,8,3,2,1,6,0
"MIR619",5,0,0,0,0,1,2,0
"DAO",0,0,0,0,2,0,0,4
"SVOP",0,0,0,0,0,0,0,0
"RNU6-361P",0,0,0,0,0,0,0,0
"AC190387.1",0,0,0,0,0,0,0,0
"USP30",442,287,378,266,219,297,388,255
"RP11-117B7.1",418,349,366,385,267,237,247,305
"RNA5SP372",0,0,0,0,0,0,1,0
"ALKBH2",331,439,337,435,418,309,375,401
"UNG",1241,1904,1083,1913,932,1236,1249,963
"RP11-968O1.5",11,26,12,28,21,9,12,24
"ACACB",307,448,250,523,369,316,391,434
"FOXN4",0,0,0,0,0,0,0,0
"MYO1H",5,5,5,8,8,7,2,1
"RP11-256L11.1",0,0,0,0,0,0,0,0
"RP11-256L11.3",0,0,0,0,0,2,0,3
"KCTD10",3550,2933,2829,3008,2838,2693,2898,3288
"UBE3B",2598,2445,2140,2649,2319,2352,2499,2831
"MMAB",912,758,760,755,739,778,782,747
"RNU4-32P",0,0,0,0,0,0,0,0
"MVK",1404,793,1259,828,954,1280,1317,1020
"RN7SKP250",0,0,0,0,0,0,0,0
"FAM222A",75,42,47,39,51,70,53,64
"MGC14436",4,0,0,2,0,0,0,1
"TRPV4",0,0,1,0,0,0,0,0
"MIR4497",0,0,0,0,0,0,0,0
"GLTP",1897,1535,1670,1647,1365,1262,1451,1583
"RP1-7G5.5",3,2,3,0,0,2,8,4
"RN7SL441P",3,0,1,0,1,3,3,1
"RP1-7G5.6",3,1,2,1,0,3,2,2
"TCHP",784,887,747,1012,966,1004,991,1029
"GIT2",3494,3539,2811,3829,3738,2960,3435,4322
"RP11-837J7.4",8,4,16,11,17,17,9,14
"RP11-837J7.3",7,9,5,9,5,5,11,5
"ANKRD13A",5996,7391,4607,8355,6489,5346,5624,7463
"C12orf76",737,771,539,859,891,929,997,1162
"RP11-946P6.6",27,2,12,6,26,29,15,10
"RP11-946P6.4",0,1,4,4,6,5,6,11
"IFT81",235,120,169,119,131,136,157,113
"ATP2A2",14304,10863,11964,12234,11694,12289,13126,13257
"RN7SL769P",0,0,0,0,0,0,0,0
"ANAPC7",1520,1823,1393,1895,1593,1662,1796,1637
"RP11-478C19.2",9,9,5,13,3,11,7,12
"HMGA1P3",0,0,1,3,0,1,5,5
"ARPC3",16112,15719,13343,16394,11265,10489,10840,12497
"GPN3",1125,1105,957,1067,822,739,869,861
"RPL31P49",3,2,3,6,10,3,7,6
"FAM216A",280,322,259,293,319,370,455,371
"VPS29",3267,2512,2769,2637,1903,2315,2414,2199
"RP3-424M6.4",32,26,24,29,27,57,54,36
"RAD9B",32,44,28,81,35,30,38,29
"PPTC7",7376,5907,6324,6695,9265,7475,7948,9686
"TCTN1",65,64,57,88,70,88,64,95
"RN7SL387P",0,0,0,0,0,1,0,0
"HVCN1",273,624,260,690,265,175,212,315
"PPP1CC",7798,11226,6392,12071,8500,6561,7038,9949
"RP11-481J8.3",0,0,0,0,0,0,0,0
"RP1-74B13.2",0,0,0,0,0,0,0,0
"RPL29P25",0,0,0,0,0,0,0,0
"CCDC63",0,0,0,0,0,0,0,0
"MYL2",0,0,0,0,0,0,0,0
"RP1-46F2.2",0,0,0,0,0,1,0,0
"RP1-46F2.3",0,0,0,0,0,0,0,0
"CUX2",278,280,208,287,161,178,142,194
"MIR6760",0,0,0,0,0,0,0,0
"RNA5SP373",0,0,0,0,0,0,0,0
"FAM109A",98,82,64,78,59,46,62,63
"RP3-473L9.4",0,0,0,0,0,0,0,0
"RP3-473L9.3",0,0,0,0,0,0,0,1
"SH2B3",8823,8446,7441,9241,10504,9077,9354,11270
"ATXN2",1627,1313,1284,1409,1241,1520,1544,1549
"RP11-686G8.1",0,0,0,1,0,0,0,1
"ATXN2-AS",2,6,6,3,5,2,10,3
"BRAP",2109,2596,1733,2611,1964,1633,1811,2155
"PCNPP",28,13,14,7,13,8,12,21
"ACAD10",988,1228,741,1328,1377,1089,1296,1602
"RP11-162P23.2",1,0,0,0,0,0,0,0
"ALDH2",33,7,21,12,18,20,25,18
"MIR6761",0,0,0,0,0,0,0,0
"AC003029.1",919,1188,687,1366,931,777,841,968
"MAPKAPK5",1976,1936,1492,2071,1910,1716,2028,2034
"RPS2P41",0,2,2,2,0,2,2,4
"ADAM1A",0,0,0,0,0,0,0,0
"AC003029.4",0,17,4,13,9,5,9,6
"TMEM116",270,503,194,489,315,300,342,432
"RP1-128M12.1",0,0,1,2,1,2,1,1
"RP1-128M12.3",1,0,2,0,1,0,0,0
"ERP29",5783,8643,4606,8798,5531,4166,4166,5884
"RP1-267L14.6",4,9,11,2,7,10,7,8
"NAA25",2235,2279,1853,2362,2601,2499,2645,2839
"MIR3657",8,3,0,0,5,4,6,1
"RP1-267L14.3",7,1,0,0,4,3,4,0
"TRAFD1",12402,11742,10276,12944,11240,9836,10283,12523
"HECTD4",4841,4156,4003,4957,5850,5901,6364,6834
"MIR6861",0,0,1,0,0,0,0,0
"RP3-521E19.2",2,1,1,1,0,0,4,0
"RN7SKP71",0,0,0,3,0,0,0,0
"RPL7AP60",11,6,7,4,8,10,7,12
"RP3-521E19.3",0,0,0,0,0,0,0,0
"RPL6",42349,75903,35142,78319,63651,39190,41730,69301
"PTPN11",6183,7509,5069,8199,7472,5913,6371,8624
"RPH3A",0,0,0,0,0,1,1,0
"MIR1302-1",0,0,0,0,0,0,0,0
"OAS1",7627,6310,6527,6922,2640,2933,3380,3046
"RP1-71H24.1",7,0,3,5,1,0,3,3
"OAS3",32284,27668,27635,30694,16674,15877,17578,19764
"OAS2",26992,28425,22910,31366,14590,13483,14259,16840
"RP1-71H24.4",4,0,5,0,1,1,2,0
"RPS15AP32",0,0,0,0,0,0,0,0
"DTX1",10,1,10,4,0,11,4,3
"RASAL1",6,9,12,1,1,17,6,4
"CFAP73",12,3,10,2,7,8,10,11
"DDX54",5457,4826,4636,4769,4714,4283,4910,5318
"MIR7106",0,0,0,0,0,0,0,0
"RITA1",953,844,816,1056,839,660,755,873
"RP11-545P7.4",0,0,0,0,0,0,0,0
"IQCD",33,20,21,23,29,57,34,23
"TPCN1",1502,1935,1212,2230,2439,1793,1793,2788
"RP11-545P7.9",5,3,0,0,3,4,5,3
"MIR6762",1,1,0,0,0,0,0,0
"SLC8B1",1546,1768,1214,1890,1516,1257,1402,1770
"PLBD2",2055,1581,1742,1732,1507,1229,1444,1795
"SDS",1,0,1,3,1,0,1,2
"SDSL",69,50,66,37,16,25,23,22
"LHX5",1,0,0,1,0,0,0,0
"RP11-82C23.2",0,0,0,0,0,0,0,0
"RP11-438N16.1",9,0,1,0,0,2,1,1
"RP11-438N16.2",5,0,0,2,0,1,1,1
"RBM19",2900,2100,2407,2151,2444,2377,2639,2700
"RP11-780K2.1",0,1,1,0,1,0,2,0
"RP11-100F15.1",0,0,0,0,0,0,0,0
"RP11-100F15.2",0,0,0,0,0,0,0,0
"RP11-100F15.3",0,0,0,0,0,0,0,0
"GLULP5",0,0,0,0,0,0,0,0
"RP11-139B1.1",0,0,0,0,0,0,0,0
"TBX5",0,0,0,0,0,0,0,0
"RP11-385N17.1",0,0,0,0,1,0,0,0
"RN7SKP216",0,0,0,0,0,0,0,0
"RP11-385N17.3",0,0,0,0,0,0,0,0
"OSTF1P1",0,0,0,0,0,0,0,0
"RP11-162N7.1",0,0,0,0,0,0,0,0
"TBX3",0,0,0,0,0,0,0,0
"RP4-601P9.2",0,0,0,0,0,0,0,0
"RP4-601P9.1",0,0,0,0,0,0,0,0
"RP11-411G2.2",0,0,0,0,0,0,0,0
"RP11-411G2.1",0,0,0,0,0,0,0,0
"RP11-25E2.1",0,0,0,0,0,0,0,0
"RP11-116D17.2",0,0,0,0,0,0,0,0
"RP11-116D17.3",0,1,0,0,0,0,0,0
"RP11-116D17.4",0,0,0,0,0,0,0,0
"RP11-116D17.5",0,0,1,0,0,0,0,0
"RP11-116D17.1",0,0,0,0,0,0,0,0
"RP11-1028N23.3",0,0,0,0,0,0,0,0
"RP11-1028N23.2",0,0,0,0,0,0,0,0
"RP11-1028N23.4",0,0,0,0,0,1,0,0
"UBA52P7",0,0,0,0,0,0,0,0
"RN7SL865P",0,0,0,0,0,0,0,0
"RP11-110L15.1",0,0,0,0,0,0,0,0
"RP11-110L15.2",0,1,0,0,0,0,0,0
"MED13L",9207,7689,7547,8495,7396,6353,7363,8717
"RP11-493P1.2",4,0,3,0,2,6,0,1
"RNU6-1188P",2,0,0,0,0,0,0,0
"MIR620",0,0,0,0,0,2,0,0
"RP11-115H15.1",0,1,0,0,0,1,2,0
"RP11-115H15.2",1,0,2,0,0,1,2,3
"RP11-148B3.2",0,0,0,0,0,0,0,0
"MIR4472-2",0,0,0,0,0,0,0,0
"RP11-148B3.1",0,0,0,0,0,0,0,0
"LINC00173",0,0,2,0,0,5,1,2
"MAP1LC3B2",37,22,35,34,28,27,26,23
"RP11-497G19.7",0,0,0,0,0,0,0,0
"RP11-497G19.3",0,0,0,0,0,0,0,0
"RP11-497G19.1",0,0,0,0,0,0,0,0
"RP11-497G19.2",0,0,0,0,0,0,0,0
"C12orf49",2465,3041,1939,3492,2285,1874,2162,2610
"RNFT2",196,152,179,159,104,141,163,123
"RP11-407P2.1",0,0,0,0,0,0,0,0
"RNU6-558P",0,1,0,0,0,0,0,0
"RP11-240G22.4",0,2,1,0,0,0,0,0
"HRK",5,0,5,0,0,2,0,0
"RP11-240G22.1",0,0,0,0,0,0,0,0
"FBXW8",738,1253,653,1537,918,795,725,971
"RP11-240G22.5",1,18,3,5,10,3,5,12
"RP11-231I16.1",4,6,5,6,0,2,8,7
"RP11-103B5.4",3,2,6,6,3,8,3,3
"TESC",324,222,247,210,212,417,408,277
"RP11-103B5.2",0,0,0,0,0,0,0,0
"FBXO21",1987,2503,1560,2684,2192,1831,1847,2473
"NOS1",0,0,0,0,0,2,0,0
"RP11-331O1.1",0,0,0,0,0,0,0,0
"RP11-227B21.2",0,0,0,0,0,0,0,0
"KSR2",0,1,0,0,1,3,0,4
"RP11-465L8.1",0,0,0,0,0,0,0,0
"RFC5",599,800,528,828,464,542,613,553
"RP11-33N14.3",1,1,2,0,1,2,4,1
"WSB2",2408,2353,2016,2447,1875,1598,1727,2205
"RP11-33N14.5",8,4,5,2,8,1,3,9
"VSIG10",174,105,120,134,152,173,142,100
"RP11-136L23.2",0,0,0,0,0,0,0,0
"PEBP1",11329,10832,9553,11227,8667,8112,8602,9441
"TAOK3",4979,6038,3968,6245,4753,3797,4135,5388
"RPS2P5",10670,24622,9329,26575,18439,10834,11940,20458
"RP11-131L12.2",3,2,1,1,2,2,2,11
"SUDS3",2065,2493,1699,2743,2012,1755,1736,2254
