"","7486_3","7486_4","7486_5","7486_6","7486_7","7486_8","7486_9","7486_10"
"RABGEF1",190,128,166,175,171,135,168,172
"RP11-792A8.4",3,1,11,9,9,2,6,7
"RP11-792A8.3",10,2,4,4,8,7,7,5
"RP11-792A8.2",6,2,6,6,5,4,3,2
"RP11-458F8.1",46,43,38,44,54,29,71,72
"RP11-458F8.2",63,57,36,60,51,52,52,58
"RNU6-1254P",1,0,0,0,0,0,0,0
"RP11-458F8.4",945,940,819,1030,706,579,785,845
"RP11-458F8.3",0,0,1,1,3,1,5,1
"TMEM248",4841,3514,4329,4248,5459,4585,5787,5882
"RN7SL43P",0,0,1,0,0,0,0,0
"SBDS",1583,1559,1390,1973,1534,1694,1722,2279
"TYW1",919,705,855,804,905,693,1076,973
"RP11-324F21.1",0,0,0,0,0,0,0,1
"MIR4650-1",0,0,0,0,0,0,0,0
"RP11-166O4.1",6,4,5,1,4,2,6,5
"PMS2L4",39,31,30,51,32,29,37,41
"RP11-166O4.3",460,379,400,471,464,385,542,475
"RP11-166O4.4",10,15,12,10,10,17,20,7
"RP11-166O4.6",46,40,35,38,52,39,46,43
"RP11-166O4.5",34,32,42,56,46,42,51,47
"RP4-736H5.1",0,0,0,0,0,0,0,0
"RP4-736H5.2",0,0,0,0,0,0,0,0
"RP4-736H5.3",0,0,0,0,0,0,0,0
"RP11-421N10.1",0,0,0,0,0,0,0,0
"RP11-358M3.1",0,0,0,0,0,0,0,0
"RP5-945F2.2",0,0,0,0,0,0,0,0
"RP5-945F2.1",0,0,0,0,0,0,0,0
"RP5-945F2.3",0,0,0,0,0,0,0,0
"RP11-521C10.1",0,0,0,0,0,0,0,0
"RP11-521C10.2",0,0,0,0,0,0,0,0
"RP5-859M6.1",0,0,0,0,0,0,0,0
"RNA5SP231",0,0,0,0,0,0,0,0
"RP11-123O1.1",0,0,0,0,0,0,0,0
"RNU6-832P",0,0,0,0,0,0,0,0
"RP11-3P22.1",0,0,0,0,0,0,0,0
"RP11-3P22.2",0,0,0,0,0,0,0,0
"RP11-666G4.2",0,0,0,0,0,0,0,0
"RP11-666G4.1",0,0,1,0,0,0,1,0
"RNU6-229P",0,0,0,0,0,0,0,0
"RP5-942I16.1",0,0,0,0,0,0,0,0
"AUTS2",417,141,424,180,633,530,671,701
"RP11-575M4.1",0,0,0,0,0,0,0,0
"WBSCR17",0,0,0,0,0,0,0,0
"MIR3914-1",0,0,0,0,0,0,0,0
"MIR3914-2",0,0,0,0,0,0,0,0
"RN7SKP75",0,0,0,0,0,0,0,0
"CALN1",0,0,0,1,0,0,0,0
"RNA5SP232",0,0,0,0,0,0,0,0
"GS1-111G14.1",0,0,0,0,0,0,0,0
"RP4-635O5.1",0,0,0,0,0,0,0,0
"TYW1B",102,76,83,75,110,52,93,82
"MIR4650-2",0,0,0,0,0,0,0,0
"RP11-535E8.2",0,0,0,0,0,0,0,0
"RP11-1394O16.1",0,0,0,0,0,0,0,0
"RN7SL377P",0,0,0,0,0,0,0,1
"SBDSP",990,829,851,966,931,732,1076,1043
"RN7SL625P",0,0,0,1,0,0,0,1
"AC005488.12",0,0,0,0,0,0,1,0
"POM121",2713,2235,2631,2478,3516,2790,3490,3445
"RP11-313P13.5",22,21,23,17,15,20,17,23
"NSUN5P2",217,114,195,191,192,86,210,152
"TRIM74",28,9,25,14,17,7,30,11
"STAG3L3",324,204,304,243,352,227,424,263
"AC005488.11",2,0,1,4,3,0,3,2
"RP11-313P13.3",23,21,23,19,31,16,24,21
"SPDYE8P",0,0,0,0,0,0,0,0
"CH17-264B6.4",0,0,0,0,0,0,0,0
"CH17-264B6.1",0,0,0,0,0,0,0,0
"CH17-264B6.3",0,0,0,0,0,0,0,0
"AC005488.13",0,0,0,0,0,0,0,0
"RP11-313P13.4",0,0,0,0,0,0,0,0
"AC006995.8",1,3,0,0,0,0,7,0
"RP11-396K3.1",144,45,110,70,285,143,258,161
"RP11-396K3.2",1,0,1,0,2,0,1,0
"NCF1B",120,66,94,79,102,105,111,170
"GTF2IRD2P",27,13,32,12,18,9,15,23
"POM121B",15,6,15,8,29,32,23,28
"NSUN5",2879,2378,2478,2699,2442,1917,2755,2610
"TRIM50",1,0,0,0,2,0,1,0
"RP11-483G21.3",0,0,0,0,0,1,0,1
"FKBP6",1,0,7,0,0,1,0,0
"RNU6-1080P",0,0,0,0,0,0,0,0
"FZD9",4,9,1,12,3,3,2,10
"BAZ1B",4067,2792,3794,3364,5037,4011,5414,4965
"RNU6-1198P",0,0,0,0,0,0,0,0
"BCL7B",2764,2199,2587,2538,2672,2618,2816,3303
"TBL2",1179,1122,1120,1237,1038,904,1162,1219
"MLXIPL",1,1,5,1,3,2,0,1
"CTA-315H11.2",0,0,0,0,0,0,0,0
"VPS37D",32,70,31,87,35,42,24,55
"DNAJC30",370,293,316,351,307,221,314,298
"WBSCR22",4464,4332,4133,4970,4148,3493,4608,4570
"STX1A",814,1043,786,1102,759,1095,806,1626
"MIR4284",3,7,6,0,3,3,3,14
"RN7SL265P",3,0,0,0,0,0,0,0
"AC073846.5",28,11,17,10,12,5,7,13
"ABHD11",491,327,512,417,426,268,416,405
"CLDN3",4,3,2,3,0,3,1,5
"CLDN4",10,7,11,8,8,8,4,8
"WBSCR27",3,3,6,5,2,2,2,3
"WBSCR28",0,0,0,0,0,0,0,0
"RP11-731K22.1",0,0,0,0,0,0,0,0
"ELN",0,2,0,0,0,1,0,0
"CTB-51J22.1",0,0,0,0,0,0,0,0
"LIMK1",1808,1346,1752,1578,1626,1450,1694,2004
"EIF4H",7563,6632,7204,8043,9097,8011,9874,10326
"MIR590",41,37,41,34,25,38,47,47
"LAT2",600,571,540,682,493,705,497,935
"RFC2",876,975,835,1159,758,769,800,1043
"CLIP2",113,89,92,82,155,129,168,165
"GTF2IRD1",17,23,23,23,41,301,27,470
"RNA5SP233",0,0,0,0,0,0,0,0
"RP5-1186P10.2",0,1,0,0,0,1,0,0
"RP5-1186P10.1",0,0,0,0,0,0,0,0
"GTF2I",894,709,876,868,1587,1276,1558,1572
"AC083884.8",11,21,5,16,17,23,22,20
"AC083884.7",0,0,0,0,0,0,0,0
"NCF1",94,72,96,94,90,149,104,164
"GTF2IRD2",306,177,250,164,251,210,311,308
"AC004166.7",625,465,510,610,652,492,833,632
"AC004166.5",51,37,46,35,47,32,42,38
"AC004166.6",40,38,42,38,30,25,44,47
"GATSL2",36,5,47,30,71,27,76,72
"WBSCR16",1944,1609,1794,1904,1985,1381,2025,1868
"GTF2IRD2B",541,319,533,337,545,411,634,577
"NCF1C",57,39,49,36,63,64,37,102
"GTF2IP1",8,5,4,7,4,3,7,10
"AC138783.10",0,0,0,0,0,0,0,0
"AC004878.2",0,0,0,0,0,0,0,0
"AC004878.8",0,0,0,0,0,0,0,0
"CH17-232I21.1",0,0,0,0,0,0,0,0
"CH17-52D20.1",0,0,0,0,0,0,0,0
"PMS2P10",16,5,6,21,13,9,10,17
"CH17-52D20.2",0,0,0,0,0,0,0,0
"PMS2P6",0,0,0,0,0,0,0,0
"CH17-52D20.3",0,0,0,0,0,0,0,0
"PMS2L2",9,8,13,6,8,9,14,12
"AC006014.6",15,4,10,5,9,4,10,10
"AC006014.8",2,1,4,1,1,0,2,2
"TRIM73",31,10,18,21,28,29,35,10
"NSUN5P1",4277,3113,3742,3645,3485,1859,3777,2506
"POM121C",2666,2185,2487,2685,3198,2540,3326,3352
"AC006014.7",0,0,0,0,0,0,0,0
"SPDYE5",61,39,35,48,45,44,51,38
"PMS2L3",648,566,593,662,696,551,776,685
"HIP1",161,72,155,75,288,84,321,111
"CTB-139P11.2",0,0,0,0,0,0,0,0
"CCL26",0,0,0,0,0,0,0,0
"CCL24",0,0,0,0,0,0,0,0
"AC005102.1",0,0,0,0,0,1,0,0
"RHBDD2",1731,971,1484,1188,1792,1296,1875,1697
"POR",3101,3469,2824,3995,2431,2888,2768,4003
"MIR4651",0,0,0,0,0,0,0,0
"AC005067.4",1,1,0,1,0,1,0,1
"SNORA14A",0,0,0,0,0,0,0,0
"TMEM120A",2120,3834,2061,4328,1080,720,1125,922
"STYXL1",818,792,697,926,767,648,736,889
"RP11-229D13.3",37,22,31,28,38,29,54,16
"MDH2",6693,6218,6232,7380,6064,4185,6483,5694
"AC005077.14",8,10,10,13,8,9,8,9
"RNU6-863P",0,3,0,0,0,0,0,0
"AC005077.12",2,4,0,0,1,3,0,0
"AC005077.7",0,0,2,0,0,1,0,0
"AC005077.8",0,0,0,0,0,0,0,0
"AC005077.5",0,0,0,0,0,0,0,0
"SRRM3",2,7,4,5,0,3,1,6
"HSPB1",1491,3494,1323,3877,880,1186,883,1474
"YWHAG",3608,3491,3452,4122,4472,4124,4685,5126
"AC005522.6",0,0,0,0,0,0,0,0
"SSC4D",15,24,15,18,12,6,31,10
"ZP3",45,56,38,73,34,10,22,17
"DTX2",985,740,833,835,862,692,960,808
"AC005522.8",0,1,1,0,0,0,0,4
"AC007078.4",3,0,0,2,0,0,0,3
"UPK3B",48,32,53,27,43,29,34,59
"AC004980.8",0,1,0,0,0,0,0,0
"AC004980.9",0,0,1,0,4,0,1,2
"SPDYE16",5,1,1,1,2,1,7,1
"AC004980.7",266,185,220,222,223,165,263,229
"POMZP3",160,166,135,160,155,125,180,187
"AC004980.10",9,1,5,6,4,10,6,12
"AC007003.1",0,0,0,0,0,0,0,0
"CTD-2192D1.1",13,4,8,17,10,3,18,10
"CTD-2192D1.2",0,0,0,0,0,0,0,0
"AC114737.7",0,0,1,2,2,0,0,0
"AC114737.3",0,0,0,0,0,0,0,0
"AC005522.7",2,2,1,0,0,0,0,0
"DTX2P1",2,4,1,5,2,2,6,8
"AC114737.5",0,1,0,0,0,0,0,0
"AC007000.8",0,0,0,0,1,0,0,0
"AC114737.6",0,0,0,0,0,0,0,1
"AC007000.9",0,0,0,0,0,0,0,0
"RP11-467H10.2",2,1,3,1,4,2,1,3
"AC007000.12",61,38,39,33,47,26,47,49
"AC007000.10",4,1,7,7,10,3,10,4
"AC007000.7",28,24,51,33,53,24,58,39
"RP11-467H10.1",16,15,17,20,14,7,10,16
"CCDC146",816,464,749,434,623,423,662,543
"FGL2",58,90,67,99,46,28,53,20
"AC073635.5",34,14,30,11,34,16,26,24
"GSAP",1792,1521,1598,1828,1171,991,1306,1470
"RP5-899E9.1",0,1,0,0,0,0,0,0
"AC004921.2",0,0,0,0,0,0,0,0
"PTPN12",984,738,897,886,1576,1588,1564,2165
"AC090421.1",427,418,358,465,314,364,366,398
"RSBN1L",2357,1807,2055,2195,2519,1725,2767,2252
"TMEM60",685,497,648,569,597,493,684,703
"PHTF2",4228,2697,3995,3328,4948,4326,4782,5677
"RP5-1185I7.1",0,0,0,2,0,0,2,0
"MAGI2",24,24,25,33,11,19,18,20
"RP4-587D13.1",0,0,0,0,0,0,0,0
"RP4-587D13.2",0,0,0,0,0,0,0,0
"RPL13AP17",0,0,0,0,0,0,0,0
"AC007237.2",0,0,0,0,0,0,0,0
"AC008071.2",0,0,0,0,0,0,0,0
"AC006324.1",0,0,0,0,0,0,0,0
"RNU6-337P",0,0,0,0,0,0,0,0
"AC006355.3",0,0,0,0,0,0,0,0
"RP5-1093G23.1",0,0,0,0,0,0,0,0
"RNU6-530P",0,0,0,0,0,0,0,0
"AC004945.1",0,0,0,0,0,0,0,0
"AC004945.2",4,3,2,0,0,0,3,0
"AC091813.2",0,0,0,0,0,0,0,0
"RNA5SP234",0,0,0,0,0,0,0,0
"RNU6-849P",0,0,0,0,0,1,0,0
"AC004159.1",0,0,0,0,0,0,0,0
"GNAI1",5,9,6,8,10,4,6,7
"RN7SL869P",0,0,0,0,0,0,0,0
"AC003988.1",0,0,0,0,0,0,0,0
"AC004862.6",0,0,0,0,0,0,0,1
"RN7SL35P",0,0,0,0,0,0,0,0
"CD36",0,0,0,0,0,0,0,0
"AC004862.5",0,0,0,0,0,0,0,0
"GNAT3",0,0,0,0,0,0,0,0
"AC073850.6",0,0,0,0,0,0,0,0
"SEMA3C",0,0,6,11,7,12,0,1
"RP5-1136A10.1",0,0,0,0,0,0,0,0
"AC005008.2",0,0,0,0,0,0,0,1
"AC005008.3",0,0,0,0,0,0,0,0
"AC004866.1",0,0,0,0,0,0,0,0
"AC004866.3",0,0,0,0,0,0,0,0
"AC008163.6",0,0,0,0,0,0,0,0
"AC010091.1",0,0,0,0,0,0,0,0
"AC010091.4",0,0,0,0,0,0,0,0
"HGF",3,3,0,4,0,1,0,0
"CACNA2D1",1,1,0,0,0,0,0,1
"AC006145.4",0,0,0,0,0,1,0,0
"AC004894.2",0,0,0,1,0,1,0,0
"AC004006.2",0,0,0,0,0,0,0,0
"PCLO",1,2,1,3,0,4,2,0
"RNA5SP235",0,0,0,0,0,0,0,0
"AC079799.2",0,0,0,0,0,0,0,0
"SEMA3E",2,0,0,0,0,0,0,0
"RP11-665O4.1",0,0,0,0,0,0,0,0
"AC079987.2",0,0,0,0,0,0,0,0
"AC004954.2",0,0,0,0,0,0,0,0
"SEMA3A",20,16,29,35,33,13,29,12
"AC004907.2",0,0,0,0,0,0,0,0
"AC003984.1",0,0,0,0,0,0,0,0
"AC093716.1",0,0,0,0,0,0,0,0
"AC074183.2",0,1,0,0,0,0,0,1
"AC074183.3",0,0,0,0,0,0,0,0
"AC074183.4",0,0,0,0,0,0,0,0
"AC004957.6",1,2,1,1,0,1,1,3
"SEMA3D",0,0,0,1,0,0,2,0
"AC004957.5",1,0,0,0,1,0,0,1
"AC073958.2",0,0,0,0,0,0,0,0
"AC074112.1",0,0,0,0,0,0,0,0
"AC092013.1",0,0,0,0,0,0,0,0
"AC006374.2",0,0,0,0,0,0,0,0
"GRM3",4,1,2,2,2,1,2,0
"AC005009.1",0,1,0,1,0,0,0,0
"AC005009.2",0,0,1,2,0,0,0,1
"KIAA1324L",219,112,203,100,370,199,393,250
"CTA-254O6.1",0,0,0,0,0,0,0,0
"AC005076.5",13,8,9,14,8,12,14,11
"DMTF1",7725,5890,7092,6639,7610,6455,8503,8568
"TMEM243",2017,1450,1814,1833,2114,1107,2347,1399
"TP53TG1",191,88,117,108,180,122,193,142
"RF02195",0,0,0,0,0,0,0,0
"RF02196",0,0,0,0,0,0,0,0
"CROT",895,560,855,713,1168,612,1230,829
"ABCB4",1,1,0,1,8,1,6,1
"ABCB1",49,26,55,17,65,17,79,22
"AC005068.4",0,0,1,0,0,0,1,0
"RUNDC3B",3,7,4,9,5,2,6,12
"SLC25A40",1126,824,1037,1026,1243,826,1226,981
"DBF4",936,679,871,920,1039,707,1024,907
"ADAM22",136,62,147,90,183,98,225,107
"SRI",2114,1967,2074,2380,1909,1394,2101,1726
"CTB-167B5.1",1,2,1,9,1,0,2,2
"AC003991.3",0,0,1,1,1,0,1,0
"STEAP4",2,0,0,0,0,1,0,2
"AC002069.7",0,0,0,0,0,0,0,0
"CTA-326K9.1",0,0,0,0,0,0,0,0
"AC002069.6",1,0,0,0,0,0,0,0
"AC002069.5",0,1,2,0,0,0,0,0
"AC006988.4",0,0,0,0,0,0,0,0
"AC006988.3",0,0,0,0,0,1,0,0
"AC002127.4",0,0,0,0,0,0,0,0
"AC002127.2",0,0,0,0,0,0,0,0
"ZNF804B",0,0,0,0,0,0,0,0
"C7orf62",0,0,0,0,0,0,0,0
"AC002383.2",1,0,0,1,0,0,0,4
"RNU6-274P",0,0,0,0,0,0,0,0
"AC002064.3",0,0,0,0,0,0,0,0
"RP5-1121E10.2",0,0,0,0,0,0,0,0
"DPY19L2P4",1,0,0,0,0,0,1,1
"STEAP1",0,0,1,1,1,5,1,2
"STEAP2",1,0,3,1,1,0,0,0
"CFAP69",1,0,10,0,0,1,1,1
"AC002064.4",0,0,0,0,0,0,0,0
"AC002064.5",0,0,0,0,0,0,0,0
"CTB-16J4.1",0,0,0,0,0,0,0,0
"GTPBP10",1094,751,988,966,1044,657,1105,851
"AC002064.7",0,0,0,0,0,0,0,0
"CLDN12",56,70,46,69,66,87,70,128
"CTB-13L3.1",0,0,0,0,0,0,0,0
"CDK14",2,12,10,12,4,7,2,8
"AC006153.3",0,0,0,0,0,0,0,0
"AC002456.2",0,0,0,0,0,0,0,0
"AC000059.1",0,0,0,0,0,0,0,0
"AC002458.1",0,0,0,0,0,0,0,0
"FZD1",29,32,13,47,52,105,63,113
"RP11-115N4.1",0,0,0,1,0,0,0,0
"RP11-115N4.2",0,0,0,0,0,0,0,0
"RP11-142A5.1",0,0,0,0,0,0,0,0
"CTB-111F10.1",0,0,1,0,0,0,2,0
"MTERF1",778,656,750,766,863,564,971,777
"AKAP9",5329,3270,4798,4054,6648,5141,7579,6370
"CYP51A1",23,73,24,103,47,231,60,293
"LRRD1",5,5,0,1,2,6,1,2
"CTB-161K23.1",4,6,2,3,2,2,2,3
"KRIT1",2901,2241,2567,2731,2971,2321,3209,3123
"AC000120.7",51,28,24,35,49,41,41,42
"MIR1285-1",8,13,15,11,8,6,9,8
"ANKIB1",2757,2271,2707,2747,3506,2473,3511,3206
"AC007566.11",0,0,6,1,0,1,0,3
"CTB-10G5.1",0,0,0,0,0,0,0,0
"GATAD1",1752,851,1485,1228,1719,927,1885,1206
"AC007566.10",39,19,17,29,18,16,23,19
"ERVW-1",6,2,7,4,6,9,7,6
"PEX1",2105,1593,2021,1931,2402,1803,2441,2264
"RBM48",1735,1550,1486,1694,1729,1797,1805,2209
"RP5-1099C19.2",1,1,0,1,0,3,2,5
"FAM133B",717,668,647,737,731,642,785,769
"CDK6",7540,6789,7561,8376,12006,12365,12373,15069
"RNU6-10P",1,0,0,0,3,1,0,0
"AC002454.1",1,5,0,3,1,1,2,4
"RN7SL7P",0,1,0,0,0,0,0,0
"SAMD9",5691,4071,5022,4412,4706,3735,5033,4581
"SAMD9L",23816,16654,21172,18923,12520,10539,13750,13673
"HEPACAM2",1,3,2,5,1,2,8,7
"VPS50",1201,742,1123,875,1525,972,1565,1284
"CALCR",0,0,0,0,0,0,0,0
"MIR653",0,0,0,0,0,0,0,0
"MIR489",0,0,0,0,0,0,0,0
"GNGT1",0,0,0,0,0,0,0,0
"AC002075.4",4,2,1,10,3,0,9,1
"MIR4652",0,0,0,0,0,0,0,0
"AC002075.3",0,0,0,0,0,0,0,0
"AC002076.9",0,0,0,0,0,0,0,0
"TFPI2",0,0,1,1,1,1,0,0
"AC002076.10",0,0,0,0,0,0,0,0
"GS1-345D13.1",0,0,0,0,0,0,0,0
"GNG11",1,2,5,1,2,1,0,0
"RP11-455I9.1",80,69,74,92,64,100,54,114
"BET1",1038,728,992,868,1192,836,1192,1049
"AC006378.2",61,38,64,42,57,50,90,66
"AC003092.1",0,0,0,0,0,0,0,0
"AC003092.2",1,0,0,0,0,0,0,0
"COL1A2-AS1",1,0,2,0,0,0,0,0
"COL1A2",17,2,1,5,4,4,0,7
"RNU6-1328P",0,0,0,0,0,0,0,0
"CASD1",1480,866,1391,1025,1988,1099,1907,1366
"SGCE",53,36,45,38,48,46,55,50
"PEG10",2,0,20,28,32,21,3,3
"AC069292.6",0,0,0,0,0,1,1,0
"RNU6-956P",0,0,0,0,0,0,0,0
"AC104700.2",0,0,0,0,0,0,0,0
"AC104700.3",0,0,0,0,0,0,0,0
"RN7SKP129",0,0,0,0,0,0,0,0
"RP1-133P16.1",0,0,0,0,0,0,0,0
"PPP1R9A",3,0,1,0,1,1,0,0
"GS1-200K5.1",0,0,0,0,0,0,0,0
"AC002429.4",0,0,0,0,0,0,0,0
"AC002429.5",0,0,0,0,0,0,0,0
"RNU4-16P",0,0,0,0,0,0,0,0
"PON1",0,0,0,0,0,0,0,1
"AC004022.7",0,0,0,0,0,0,0,0
"AC004022.8",0,0,0,0,0,0,0,0
"PON3",2,0,0,0,0,1,0,0
"PON2",117,53,98,75,124,53,126,62
"GS1-293C5.1",0,0,0,0,0,0,1,0
"AC004012.1",0,0,0,0,0,0,0,0
"ASB4",0,0,0,0,0,0,0,0
"GS1-306C12.1",0,0,0,0,0,0,0,0
"PDK4",0,0,0,1,0,0,0,0
"AC002451.3",0,0,0,0,0,0,0,0
"DYNC1I1",2,0,0,1,0,1,0,2
"GS1-25M2.1",0,0,1,0,0,0,0,0
"SLC25A13",385,366,357,483,366,286,407,428
"MIR591",0,0,0,0,0,0,0,0
"AC096775.2",0,0,0,0,0,0,0,0
"RP11-440E5.1",0,0,0,0,0,0,0,0
"RNU6-532P",0,0,0,0,0,0,0,0
"RNU6-364P",0,0,0,0,0,0,0,0
"RNU7-188P",0,0,0,0,0,0,0,0
"SEM1",2426,2569,2128,2879,1990,1862,2263,2563
"AC092595.2",0,0,0,0,0,0,0,0
"RN7SL252P",0,0,0,0,0,0,0,0
"DLX6-AS1",1,0,1,0,0,0,0,0
"RF01887",0,0,0,0,0,0,0,0
"RF01888",0,0,0,0,0,0,0,0
"DLX6",0,0,0,0,0,0,0,0
"RF01778",0,0,0,0,0,0,0,0
"DLX5",0,0,0,0,0,0,0,0
"SDHAF3",565,535,475,644,570,437,566,568
"AC073421.2",0,1,0,0,0,0,0,0
"AC073900.4",0,0,0,0,0,0,0,0
"AC007316.3",0,0,0,0,0,0,0,0
"RN7SKP104",0,0,0,0,0,0,0,0
"TAC1",0,2,0,1,0,0,0,0
"RP5-1090P18.1",423,315,331,382,317,230,343,341
"ASNS",189,159,159,140,157,108,172,169
"AC079781.5",8,3,13,13,8,8,6,2
"AC005326.2",2,0,0,0,0,2,2,0
"AC079781.9",3,2,1,3,3,0,6,0
"AC007875.2",4,7,6,7,7,1,3,7
"AC079781.7",0,2,0,0,2,0,0,0
"RP5-1090P18.2",0,0,0,0,0,0,0,0
"AC079781.8",9,3,7,3,13,5,9,13
"OR7E7P",84,66,88,89,88,56,86,78
"MIR5692A1",3,2,1,8,4,5,2,1
"MIR5692C2",1,0,0,6,4,1,2,2
"OR7E38P",227,176,171,218,168,103,142,162
"AC004967.7",206,202,165,212,178,154,195,162
"OCM2",0,0,0,0,1,0,1,0
"RN7SL478P",0,0,0,0,0,0,0,0
"LMTK2",1438,1448,1384,1626,1748,1554,1847,2068
"BHLHA15",3,4,5,5,5,2,2,7
"TECPR1",7344,3490,6689,4311,9102,4576,9862,6276
"BRI3",1308,1260,1147,1379,1191,1249,1238,1602
"BAIAP2L1",95,83,80,97,38,60,48,76
"RP11-307C18.1",4,3,0,5,0,7,5,4
"RPS3AP26",19,12,16,8,28,4,29,9
"AC091654.7",0,0,0,0,0,0,0,0
"AC074121.4",0,0,0,0,0,0,0,0
"NPTX2",1,0,0,0,0,1,1,0
"RNU6-393P",0,0,0,0,0,0,0,0
"TMEM130",1,0,1,2,0,3,2,1
"TRRAP",6276,3820,5728,4648,7582,4810,7718,6112
"MIR3609",3,3,2,5,0,1,1,5
"AC004893.10",6,5,7,10,3,4,8,7
"SMURF1",1524,1204,1322,1440,1493,1573,1815,2091
"RP4-808A1.1",0,0,0,0,0,0,0,0
"KPNA7",0,0,0,0,0,0,0,0
"MYH16",1,3,0,2,5,3,5,3
"RP13-968A2.1",8,7,1,1,11,2,5,2
"RP5-900K19.2",6,3,3,3,1,6,2,4
"ARPC1A",445,447,375,441,323,371,349,430
"ARPC1B",549,403,490,496,377,286,399,418
"PDAP1",4606,4228,4024,4845,4007,3394,4350,4523
"BUD31",941,947,877,992,928,868,975,1177
"PTCD1",338,285,311,378,297,260,296,296
"ATP5J2-PTCD1",2,2,0,1,0,1,1,4
"CPSF4",2185,1914,1898,2244,1832,1619,2066,2088
"AC073063.10",9,12,11,8,4,11,11,13
"ATP5J2",1890,1859,1539,2078,1415,1308,1480,1720
"ZNF789",2036,1516,1772,1777,1794,1510,1963,1933
"ZNF394",2325,1915,2126,2195,2109,1740,2323,2371
"ZKSCAN5",723,649,697,741,848,847,874,1073
"FAM200A",388,322,350,411,475,315,441,453
"ZNF655",11090,7907,10229,9418,10413,8978,11436,11745
"GS1-259H13.13",0,0,0,0,0,0,0,0
"TMEM225B",30,16,42,13,15,16,25,22
"ZSCAN25",1806,1490,1651,1798,1663,1523,1873,1894
"GS1-259H13.7",1,5,4,6,6,1,3,2
"CYP3A5",126,85,84,115,109,72,112,98
"CYP3A7",12,9,11,11,4,7,12,15
"CYP3A51P",0,0,0,0,0,0,0,0
"CYP3A7-CYP3A51P",0,0,0,0,0,0,0,0
"CYP3A4",32,16,21,28,24,23,15,19
"RP11-757A13.1",13,21,7,9,2,2,10,8
"CTD-3244O18.7",0,0,0,0,0,0,0,0
"CYP3A43",8,4,8,0,3,4,10,4
"CTD-3244O18.5",0,1,1,1,0,0,1,2
"CTD-3244O18.6",0,4,1,4,1,0,0,2
"OR2AE1",1,1,1,5,0,2,2,11
"TRIM4",1658,1117,1724,1401,2170,1465,2286,1822
"GJC3",7,7,2,11,15,4,7,16
"RP4-604G5.1",0,3,0,0,0,0,3,1
"AZGP1",3,1,0,0,0,0,0,0
"AZGP1P1",0,1,0,0,0,0,0,0
"RP4-604G5.3",0,0,0,0,0,0,0,0
"ZKSCAN1",5663,4056,5045,4782,6905,5049,6957,6572
"ZSCAN21",218,177,219,221,267,237,307,307
"ZNF3",1459,981,1293,1151,1480,987,1636,1455
"COPS6",3460,3132,3132,3480,2849,2482,3177,3470
"MCM7",7171,4950,6669,5468,5906,3399,6516,4636
"MIR25",86,54,63,73,56,33,61,56
"MIR93",33,27,32,21,33,17,32,18
"MIR106B",24,15,20,17,11,10,13,19
"AP4M1",465,477,384,532,455,511,426,648
"TAF6",1795,1221,1638,1498,1908,1433,2147,2005
"RP11-506M12.1",91,54,90,89,106,80,75,107
"CNPY4",1321,674,1320,742,1386,935,1695,1367
"MBLAC1",141,118,123,146,125,104,105,123
"AC073842.19",3,0,2,2,1,0,0,2
"AC073842.18",0,0,1,0,0,3,1,2
"LAMTOR4",3904,3176,3381,3455,3055,2514,3283,3498
"C7orf43",3146,2608,2761,3231,2805,2171,2985,2846
"MIR4658",0,0,0,0,0,0,0,0
"GAL3ST4",420,258,357,289,900,500,957,691
"GPC2",321,208,307,259,481,305,558,351
"STAG3",417,239,324,306,518,487,603,594
"GATS",817,509,768,615,1022,810,1120,1128
"PVRIG",39,19,16,22,33,28,21,42
"SPDYE3",410,426,451,456,421,278,485,347
"PMS2L1",615,623,512,676,571,408,623,561
"STAG3L5P",1187,895,958,936,773,564,893,829
"STAG3L5P-PVRIG2P-PILRB",40,38,23,38,29,9,18,21
"PILRB",855,595,679,753,571,391,615,565
"PVRIG2P",0,0,0,0,0,0,0,0
"MIR6840",0,0,0,0,0,0,0,0
"PILRA",183,115,123,108,97,79,125,162
"ZCWPW1",433,276,384,297,316,222,377,330
"MEPCE",2488,1735,2240,2061,2184,1525,2408,2128
"RP11-758P17.2",0,0,0,0,0,0,1,1
"PPP1R35",1599,1036,1403,1396,1235,900,1316,1223
"RP11-758P17.3",4,5,7,5,5,7,4,5
"C7orf61",55,37,53,32,42,36,52,61
"TSC22D4",9125,6225,8259,7330,7502,5541,8090,7541
"NYAP1",26,31,24,47,21,25,26,54
"RP11-44M6.1",0,0,1,0,0,0,0,0
"RN7SL416P",0,0,0,0,0,0,0,0
"AGFG2",1256,906,1160,1074,1095,932,1202,1148
"RP11-44M6.3",5,3,2,2,4,2,3,1
"SAP25",5,5,3,2,1,3,5,2
"RP11-44M6.7",1452,612,1319,838,1321,867,1476,1150
"LRCH4",3562,1918,3184,2270,3647,2436,3921,3438
"FBXO24",35,28,22,22,35,16,43,47
"PCOLCE-AS1",7,9,10,5,7,11,13,6
"PCOLCE",353,198,391,289,369,235,395,265
"MOSPD3",1245,992,1080,1187,1501,1078,1461,1559
"TFR2",386,368,331,430,410,301,429,418
"ACTL6B",2,1,0,2,3,8,5,4
"GNB2",6836,5789,6407,6990,7554,7272,7795,9773
"GIGYF1",11013,8301,9431,9459,9593,7271,10592,10312
